(0.0, -73.97549468921166, 40.74346868495346)
(1.0, -73.97833524209928, 40.741530283942005)
(2.0, -73.98108320125347, 40.74108982051679)
(3.0, -73.98200162164837, 40.74154660504964)
(4.0, -73.97780816031204, 40.74486444413607)
(5.0, -73.9681329129291, 40.748125820825685)
(6.0, -73.96985804549303, 40.75111975004034)
(7.0, -73.97122402223485, 40.754117842281026)
(8.0, -73.97345527492898, 40.754168802910364)
(9.0, -73.97476610550413, 40.754070050112)
(10.0, -73.97366414331529, 40.75453461119843)
(11.0, -73.97421297388024, 40.75449602024458)
(12.0, -73.97461328166116, 40.754261820325326)
(13.0, -73.9743326989946, 40.75368894438453)
(14.0, -73.97312493031086, 40.75338628294189)
(15.0, -73.97139711752892, 40.75330108098711)
(16.0, -73.96986220166005, 40.752894771673084)
(17.0, -73.97148325570681, 40.753267655200865)
(18.0, -73.97388287386104, 40.75274201878488)
(19.0, -73.97522598307933, 40.751398878526864)
(20.0, -73.97529019418047, 40.74966533051409)
(21.0, -73.97488527782976, 40.74878507224302)
(22.0, -73.97500061422015, 40.74767850738991)
(23.0, -73.97404369665867, 40.7457425738766)
